Lecturer Name: David Brown, Lecturer Role: programme manager, Modules: Software Engineering, Student enrolled: 3, Type of Classes Computer Science Fundamentals, Project Management
Lecturer Name: Matthew Thomas, Lecturer Role: associate lecturer, Modules: Digital Marketing, Student enrolled: 2, Type of Classes Software Testing, Mobile App Development
Lecturer Name: Ashley Lopez, Lecturer Role: senior lecturer, Modules: Data Science Techniques, Student enrolled: 3, Type of Classes Cloud Computing, Distributed Systems
Lecturer Name: William Wilson, Lecturer Role: professor, Modules: Computer Vision Algorithms, Student enrolled: 5, Type of Classes Computer Graphics, Virtual Reality
Lecturer Name: James King, Lecturer Role: senior lecturer, Modules: Ethical Hacking,Game Development Fundamentals, Student enrolled: 10, Type of Classes Computer Architecture, Embedded Systems
Lecturer Name: Lauren Perez, Lecturer Role: professor, Modules: Introduction to Cybersecurity,Mobile App Development, Student enrolled: 5, Type of Classes Natural Language Processing, Information Retrieval
Lecturer Name: Ryan Gonzalez, Lecturer Role: associate lecturer, Modules: Cyber-Physical Systems, Student enrolled: 3, Type of Classes Network Security, Penetration Testing
Lecturer Name: Kayla Flores, Lecturer Role: senior lecturer, Modules: Geographic Information Systems Applications, Student enrolled: 2, Type of Classes Data Warehousing, Business Intelligence
Lecturer Name: Eric Carter, Lecturer Role: professor, Modules: Introduction to Computer Science, Student enrolled: 3, Type of Classes Computer Vision, Pattern Recognition
Lecturer Name: Natalie Morris, Lecturer Role: associate lecturer, Modules: Game Development, Student enrolled: 1, Type of Classes Object-Oriented Programming, Design Patterns
Lecturer Name: Tyler Cook, Lecturer Role: programme manager, Modules: Blockchain Technology Applications,Information Theory, Student enrolled: 3, Type of Classes IT Governance, Risk Management
Lecturer Name: Andrew Long, Lecturer Role: associate lecturer, Modules: Introduction to Machine Learning, Student enrolled: 1, Type of Classes Computer Forensics, Incident Response
Lecturer Name: Kevin Sanders, Lecturer Role: programme manager, Modules: Computer Networks,Software Engineering Principles, Student enrolled: 4, Type of Classes Information Assurance, Disaster Recovery
Lecturer Name: Robert Russell, Lecturer Role: senior lecturer, Modules: Embedded Systems Design, Student enrolled: 3, Type of Classes Information Theory, Error Correction Codes
Lecturer Name: Thomas Bennett, Lecturer Role: associate lecturer, Modules: Software Development Lifecycle, Student enrolled: 6, Type of Classes Computer Ethics, Privacy Policies
Lecturer Name: Grace Wood, Lecturer Role: programme manager, Modules: Computer Vision Algorithms Implementation, Student enrolled: 2, Type of Classes IT Service Management, ITIL Framework
Lecturer Name: Timothy James, Lecturer Role: associate lecturer, Modules: Cloud Computing, Student enrolled: 7, Type of Classes Software Metrics, Code Quality Analysis
Lecturer Name: Austin Richardson, Lecturer Role: programme manager, Modules: Artificial Intelligence,Software Development Methodologies, Student enrolled: 9, Type of Classes Business Process Management, Workflow Automation
Lecturer Name: Steven Hill, Lecturer Role: senior lecturer, Modules: Computer Animation Principles,Computer Ethics, Student enrolled: 6, Type of Classes Software Requirements Engineering, Software Architecture
